MARC_fields
001
003
005
006
007
008
010
020
024
035
037
040
041
043
045
050
051
060
066
082
084
090
100
110
111
130
240
245
246
250
260
264
300
336
337
338
490
500
501
502
504
505
520
533
534
546
561
583
588
590
600
610
611
630
648
650
651
653
655
700
710
730
740
752
776
810
830
856
880
952
959
999
