MARC_fields
001
003
005
006
007
008
024
035
040
041
043
050
066
090
092
100
111
240
245
246
250
260
264
300
336
337
338
500
504
505
533
546
600
610
630
648
650
651
655
700
710
730
740
752
776
830
856
880
959
999
