MARC_fields
001
003
005
006
007
008
010
020
024
035
040
041
043
050
066
082
084
090
092
100
110
111
130
240
245
246
250
260
264
300
336
337
338
490
500
502
504
505
510
520
533
534
541
546
561
583
588
600
610
611
630
648
650
651
653
655
700
710
711
730
740
752
776
800
830
856
880
902
904
911
912
948
959
999
