MARC_fields
001
003
005
006
007
008
019
020
024
035
040
041
042
043
045
050
051
060
082
084
090
092
100
110
130
240
245
246
250
260
264
300
336
337
338
490
500
504
505
506
520
533
534
538
546
583
588
600
610
611
630
648
650
651
653
655
700
710
730
740
776
810
830
856
880
959
999
