bsn_number
NIC_1910202
NNC_3093050
NNC_2685724
NNC_683874
NNU_001685700
LeBAU_b17590371
NNU_001686121
NjP_793487
NNU_002082388
NNC_682869
NIC_1662518
NIC_1651092
NIC_1651236
NIC_1670035
LeBAU_b12395833
LeBAU_b12407860
LeBAU_b12445861
LeBAU_b12563730
LeBAU_b12419795
NIC_1933362
LeBAU_b12527555
LeBAU_b12674114
LeBAU_b12415078
LeBAU_b12371968
LeBAU_b17665358
LeBAU_b12328741
LeBAU_b12366031
LeBAU_b12669398
LeBAU_b12649740
LeBAU_b1241847x
LeBAU_b12653536
LeBAU_b12529230
LeBAU_b12667080
LeBAU_b12369639
LeBAU_b1244103x
LeBAU_b12312022
LeBAU_b12670054
LeBAU_b12605104
LeBAU_b12646076
LeBAU_b12509206
LeBAU_b1766651x
LeBAU_b12333906
LeBAU_b12368404
LeBAU_b12444522
LeBAU_b12675581
LeBAU_b12572329
LeBAU_b12649752
LeBAU_b1261001x
LeBAU_b1237930x
LeBAU_b12702614
LeBAU_b1254940x
LeBAU_b12652131
LeBAU_b12669155
LeBAU_b17515634
LeBAU_b12324589
LeBAU_b17666442
LeBAU_b18271649
LeBAU_b12578319
LeBAU_b12380398
LeBAU_b12383491
LeBAU_b12405632
LeBAU_b12483060
LeBAU_b17666909
LeBAU_b12377934
LeBAU_b1255120x
LeBAU_b1827092x
LeBAU_b12561459
LeBAU_b12657876
LeBAU_b12535369
LeBAU_b12767335
LeBAU_b13455199
LeBAU_b18271522
LeBAU_b12357170
LeBAU_b12700150
LeBAU_b12841092
LeBAU_b12545016
LeBAU_b17514551
LeBAU_b12337183
LeBAU_b12358204
LeBAU_b12361112
LeBAU_b12652489
LeBAU_b12329794
LeBAU_b12382607
LeBAU_b12666993
LeBAU_b17666910
LeBAU_b18271947
LeBAU_b12708501
LeBAU_b12413367
LeBAU_b12533300
LeBAU_b12657025
LeBAU_b12699731
LeBAU_b12722558
LeBAU_b12664509
LeBAU_b12701191
LeBAU_b1272564x
LeBAU_b17665413
LeBAU_b12592006
LeBAU_b12677152
LeBAU_b12680941
LeBAU_b12432155
LeBAU_b1246272x
LeBAU_b12777067
LeBAU_b12319806
LeBAU_b12328960
LeBAU_b12515966
LeBAU_b1230783x
NIC_1684402
LeBAU_b12495578
LeBAU_b12515887
LeBAU_b1260947x
LeBAU_b12647159
LeBAU_b12758279
LeBAU_b17665553
LeBAU_b12429132
LeBAU_b12529941
LeBAU_b12679690
LeBAU_b17588984
LeBAU_b17666338
LeBAU_b12497101
LeBAU_b1261760x
NIC_1934414
LeBAU_b17515142
LeBAU_b12397519
LeBAU_b12464909
NIC_1909465
NIC_1919046
LeBAU_b12532046
LeBAU_b12549885
LeBAU_b12550656
LeBAU_b12780479
LeBAU_b12785969
LeBAU_b12560236
LeBAU_b12659794
LeBAU_b12537147
LeBAU_b17665590
LeBAU_b12667961
NIC_1674736
NIC_1682175
NIC_1686257
NIC_1880875
LeBAU_b1254646x
LeBAU_b12569537
LeBAU_b1283600x
NIC_1670918
NIC_1674127
NIC_1925008
LeBAU_b12550590
